task_id,project_id,project_domain,project_type,task_title,task_description,project_complexity,project_criticality,role_required,team_size_required,assigned_count,estimated_hours,deadline_days,priority,required_experience_years,required_skill_ids,required_skill_levels,critical_skill_ids,required_skill_count,critical_skill_count,task_start_date,task_due_date
TSK000011,PRJ00004,Logistics,Business Intelligence,Harden self-service BI enablement for Logistics freight visibility platform,"Delivery of self-service BI enablement for the freight visibility platform sits with this task. A defect here degrades an internal service, so standard change control applies. Core competencies required are report analysis results, manage research data and multidisciplinary research. Planned at roughly 203 hours of individual effort, due in 64 days.",Advanced,Medium,Business Analyst,3,3,203.0,64,Medium,6.79,c544a9f3-5945-4b54-afed-de0697852817|08b04e53-ed25-41a2-9f90-0b9cd939ba3d|9fc400ac-8ed2-4aff-915f-aa4f2609ec7b|0af062de-eb43-41e9-9b96-249e2cd22d26|852d758c-f222-4edc-99ad-31c9e3bd8079,4|2|3|4|2,c544a9f3-5945-4b54-afed-de0697852817|0af062de-eb43-41e9-9b96-249e2cd22d26,5,2,2023-04-20,2023-06-23
TSK000012,PRJ00004,Logistics,Business Intelligence,Instrument metric layer standardisation for Logistics warehouse management platform,"This task delivers metric layer standardisation against the existing warehouse management platform. The work touches shared components and needs coordinated release planning. Required capability includes execute analytical mathematical calculations, manage data and handle data samples. Planned at roughly 287 hours of individual effort, due in 86 days.",Advanced,Medium,BI Developer,7,7,286.8,86,Urgent,5.59,31c69100-b612-4a61-8db5-fd314318854c|9ff9db9d-d14b-426e-83f3-e7449af6c79f|4a193795-fa63-414e-9f2e-bfdb3924571e|9cf681c7-89ec-470c-b651-7fe03786f586|327d15c8-29ff-4ad4-a4fe-6536d777a45f|415abd43-e8e5-4643-b5da-5f11307af57a,4|3|3|4|3|3,31c69100-b612-4a61-8db5-fd314318854c,6,1,2023-04-19,2023-07-14
TSK000013,PRJ00005,Logistics,Monitoring,Migrate SLO and alerting framework for Logistics transport management system,"This workstream covers SLO and alerting framework within the transport management system. The change is low blast-radius and can be scheduled flexibly. Delivery depends on proven ability in build business relationships, report analysis results and maintain plan for continuity of operations. Estimated effort is 70 hours per assignee against a 15-day delivery window.",Basic,Low,Network Engineer,11,11,70.1,15,Low,3.07,dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1|c544a9f3-5945-4b54-afed-de0697852817|909a28ce-d4b6-4567-9b74-d111f1ed9633|3cfa46e9-b7da-44ac-b09e-9596dffe0425|ec85cc63-4e24-4631-bf92-8789db2605c0|9ef0f3a0-9ce2-4ef1-a987-0366b5cb2dbe|40f27736-0d98-4446-8234-11646e4f4bc3,3|2|2|1|2|1|1,dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1|c544a9f3-5945-4b54-afed-de0697852817,7,2,2024-10-26,2024-11-10
TSK000014,PRJ00005,Logistics,Monitoring,Optimise distributed tracing rollout for Logistics warehouse management platform,"Scope of this task is distributed tracing rollout on the warehouse management platform. The change is low blast-radius and can be scheduled flexibly. Required capability includes apply ICT system usage policies, manage system security and Apache Tomcat. Planned at roughly 84 hours of individual effort, due in 16 days.",Basic,Low,Systems Administrator,7,7,83.9,16,Low,1.94,9707091a-323b-4240-877a-5999a19286f0|2a3a96a3-709e-4d60-81f6-d247d6933f13|0fb753a1-2ef2-4429-84d2-ecb2b24daf7a|3cee858e-79e8-4a4b-b99f-93c7f735d58b|5d26851b-270a-4fbe-abeb-2bfd6eba3e2d,2|2|4|2|1,0fb753a1-2ef2-4429-84d2-ecb2b24daf7a,5,1,2024-10-27,2024-11-12
TSK000015,PRJ00005,Logistics,Monitoring,Migrate distributed tracing rollout for Logistics last-mile routing system,"Delivery of distributed tracing rollout for the last-mile routing system sits with this task. Impact is contained and the change can be reversed without customer disruption. Delivery depends on proven ability in report analysis results, identify ICT security risks and optimise choice of ICT solution. Estimated effort is 37 hours per assignee against a 8-day delivery window.",Basic,Low,Systems Administrator,6,5,37.2,8,Low,2.46,c544a9f3-5945-4b54-afed-de0697852817|fe1c2b32-7fe9-4668-affa-07ff658a68cf|3cfa46e9-b7da-44ac-b09e-9596dffe0425|64852ade-6ae1-4760-ba4a-976bf07ca255|4913d0c0-133a-4c46-aac3-f5d4989a982e|e043aeeb-78f5-4049-afbf-12bba52225bc|6fa1c2c0-a012-4ca0-9642-e01569ba322c,2|3|2|3|2|3|3,fe1c2b32-7fe9-4668-affa-07ff658a68cf|64852ade-6ae1-4760-ba4a-976bf07ca255,7,2,2024-10-29,2024-11-06
TSK000016,PRJ00006,Telecom,AI/NLP,Optimise call transcript analytics engine for Telecom subscriber provisioning platform,"Scope of this task is call transcript analytics engine on the subscriber provisioning platform. Impact is contained and the change can be reversed without customer disruption. Delivery depends on proven ability in increase the impact of science on policy and society, LDAP and C++. Estimated effort is 152 hours per assignee against a 29-day delivery window.",Moderate,Low,Data Scientist,6,6,151.7,29,Low,2.29,4d39b27a-b34f-4c89-8d46-df844d42f728|a57a54b6-2f2e-43e4-9621-b52f4a63cb08|b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f,2|2|2,4d39b27a-b34f-4c89-8d46-df844d42f728,3,1,2023-06-29,2023-07-28
TSK000017,PRJ00006,Telecom,AI/NLP,Migrate call transcript analytics engine for Telecom network inventory system,"The team is responsible for call transcript analytics engine as part of the network inventory system. Impact is contained and the change can be reversed without customer disruption. Required capability includes create semantic trees, manage ICT semantic integration and Ruby (computer programming). Effort is budgeted at 278 hours per person with a 75-day deadline.",Moderate,Low,Software Engineer,4,5,277.8,75,Medium,3.49,cb89a5c0-b5cb-4c62-8e7e-7714631b66b5|fda917eb-0d6a-4371-8c93-2a10bf950966|0ccdfe98-f845-4598-84a1-3dca66e9d9a3|0823ccef-813f-4f22-afef-ac0d68615e8f|628664ec-a63b-4486-8d65-02aba81c82a0,3|4|2|2|2,fda917eb-0d6a-4371-8c93-2a10bf950966,5,1,2023-07-05,2023-09-18
TSK000018,PRJ00006,Telecom,AI/NLP,Optimise conversational assistant for Telecom charging and mediation layer,"This task delivers conversational assistant against the existing charging and mediation layer. Impact is contained and the change can be reversed without customer disruption. Required capability includes draft scientific or academic papers and technical documentation and computational biology. Planned at roughly 429 hours of individual effort, due in 96 days.",Moderate,Low,Data Scientist,5,4,429.4,96,Medium,2.55,00b9a3aa-7070-4bb5-8020-f228a97cf42f|e464363b-8346-421d-9035-52118b76d8c8,3|1,00b9a3aa-7070-4bb5-8020-f228a97cf42f,2,1,2023-08-02,2023-11-06
TSK000019,PRJ00006,Telecom,AI/NLP,Refactor entity extraction pipeline for Telecom subscriber provisioning platform,"This workstream covers entity extraction pipeline within the subscriber provisioning platform. The change is low blast-radius and can be scheduled flexibly. Core competencies required are resource description framework query language, analyse business requirements and manage business knowledge. Effort is budgeted at 127 hours per person with a 32-day deadline.",Moderate,Low,ML Engineer,9,10,127.0,32,Urgent,3.68,99207709-d076-4cce-ba38-e90d3bb28806|b04f377b-ee80-4b38-aca1-19d266a23b17|41bf7ede-fc84-4a57-8c89-b548d11b0ba1|cbe2c304-1e7d-489a-97d9-a7d3e37a9db6|d9e5349e-8791-49c2-8ba4-839fdd1606c2|29fb0fb5-dfc4-4098-ac9b-3a712000f48f|7814e88f-c133-4c3b-b27f-857afa145d42|ffddfc7c-a9dd-449f-9e96-882dc447c8b6|58d7a289-dafd-4363-833f-d1dc4140885e|bf987b9a-64f3-44b7-98f1-a60e4585b69b,1|3|1|2|2|2|2|1|3|2,b04f377b-ee80-4b38-aca1-19d266a23b17|58d7a289-dafd-4363-833f-d1dc4140885e,10,2,2023-07-27,2023-08-28
TSK000020,PRJ00007,SaaS,DevOps,Migrate artefact and secrets management for SaaS subscription billing stack,"This workstream covers artefact and secrets management within the subscription billing stack. An outage here stops transaction processing, so rollback readiness is a gating condition. Required capability includes develop automated migration methods, mobile operating systems and cloud technologies. The window is 80 days, with about 256 hours of effort expected from each assignee.",Advanced,Critical,Software Engineer,6,6,256.4,80,High,8.32,0b0335f3-0aa1-491e-895e-81fc8774a300|976455eb-5bbe-4493-ae64-ed16c3b009ea|bd14968e-e409-45af-b362-3495ed7b10e0|71746a0b-e58d-4dc4-ad03-bd84082eae21|ba04b19b-0b18-4d5c-b799-4db31a98e58d|0de61385-de6d-4146-ba32-1cc1bc102220|c7451027-8249-405a-bb1b-342ff0f3fb3b|fafe0b9d-dbd9-46bd-b770-26299539ce66,5|5|5|4|5|3|3|5,0b0335f3-0aa1-491e-895e-81fc8774a300|976455eb-5bbe-4493-ae64-ed16c3b009ea|bd14968e-e409-45af-b362-3495ed7b10e0|71746a0b-e58d-4dc4-ad03-bd84082eae21|ba04b19b-0b18-4d5c-b799-4db31a98e58d|fafe0b9d-dbd9-46bd-b770-26299539ce66,8,6,2023-09-13,2023-12-02
TSK000021,PRJ00008,Logistics,Reporting,Redesign audit evidence reporting for Logistics warehouse management platform,"This task delivers audit evidence reporting against the existing warehouse management platform. This sits on a business-critical path where an incident triggers a formal post-mortem. Core competencies required are product usage risks analysis, identify customer requirements and business process modelling. Planned at roughly 175 hours of individual effort, due in 64 days.",Advanced,Critical,Data Analyst,7,8,175.2,64,Urgent,9.03,4913d0c0-133a-4c46-aac3-f5d4989a982e|0e0c9c11-b39e-43cf-ba95-2fe646f5de64|98301d4a-2cc3-439d-8d7f-0b6ac76302bb|c544a9f3-5945-4b54-afed-de0697852817,5|5|4|5,4913d0c0-133a-4c46-aac3-f5d4989a982e|0e0c9c11-b39e-43cf-ba95-2fe646f5de64|c544a9f3-5945-4b54-afed-de0697852817,4,3,2022-02-27,2022-05-02
TSK000022,PRJ00009,Insurance,Enterprise Architecture,Redesign application rationalisation for Insurance claims handling platform,"This task delivers application rationalisation against the existing claims handling platform. Failure would create rework for downstream teams but not customer outage. Core competencies required are information architecture, apply ICT system usage policies and identify processes for re-engineering. Effort is budgeted at 143 hours per person with a 44-day deadline.",Moderate,Medium,Solution Architect,6,5,143.5,44,Medium,4.45,1bba98a7-92b9-450b-9235-e0c905f8f3c4|9707091a-323b-4240-877a-5999a19286f0|553ad092-b799-44c9-a94c-65a84fdc7526|71746a0b-e58d-4dc4-ad03-bd84082eae21|14d1e367-3efe-4ec5-86ae-eca48710ee4e|d74df140-eb69-43e2-bac9-1cafc824d702|bd698bbe-7003-4508-b422-46c2ff4d5e95|b497a163-daf4-4f1b-a6ba-8c640d803979|eccd4313-c931-4e47-853e-76fdfac6e30b,2|2|3|2|1|3|2|4|3,553ad092-b799-44c9-a94c-65a84fdc7526|b497a163-daf4-4f1b-a6ba-8c640d803979,9,2,2023-07-23,2023-09-05
TSK000023,PRJ00009,Insurance,Enterprise Architecture,Integrate integration reference architecture for Insurance underwriting workbench,"This workstream covers integration reference architecture within the underwriting workbench. A defect here degrades an internal service, so standard change control applies. Delivery depends on proven ability in business process modelling, build business relationships and object-oriented modelling. Effort is budgeted at 252 hours per person with a 46-day deadline.",Moderate,Medium,Project Manager,6,6,252.3,46,Medium,5.58,98301d4a-2cc3-439d-8d7f-0b6ac76302bb|dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1|5be3d306-6cf1-4b49-aa1d-01651dd4ba4c|b04f377b-ee80-4b38-aca1-19d266a23b17|2857540c-180b-4208-9127-e94a01871966|bec4359e-cb92-468f-a997-8fb28e32fba9|42ed3bfb-1a01-4c8b-9758-fc6438865734|b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f|ad59afe4-6f8a-4bc4-acfd-0f228277508a,4|3|5|2|2|2|3|3|1,98301d4a-2cc3-439d-8d7f-0b6ac76302bb|dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1|5be3d306-6cf1-4b49-aa1d-01651dd4ba4c,9,3,2023-08-20,2023-10-05
TSK000024,PRJ00009,Insurance,Enterprise Architecture,Build technology standards refresh for Insurance broker portal,"Scope of this task is technology standards refresh on the broker portal. A defect here degrades an internal service, so standard change control applies. Required capability includes improve business processes, insourcing strategy and ensure adherence to organisational ICT standards. The window is 42 days, with about 138 hours of effort expected from each assignee.",Moderate,Medium,Project Manager,5,5,137.7,42,Low,4.75,75b30aeb-34c0-40f4-b77d-271d75a98b14|eff1bb34-b454-4482-8c29-65f820619f3c|b8271c8a-cba6-4baa-80f5-6361af3f07e3|acf0a78c-f4e3-4bd9-a5cc-9cf4791b3b95|84f58e3d-8669-4d83-8c1d-5dd1e73a654f|9da22795-4383-4bea-9ac5-e80fdf16ece5,3|3|3|3|5|3,75b30aeb-34c0-40f4-b77d-271d75a98b14|b8271c8a-cba6-4baa-80f5-6361af3f07e3|84f58e3d-8669-4d83-8c1d-5dd1e73a654f,6,3,2023-08-18,2023-09-29
TSK000025,PRJ00010,Government,Cybersecurity,Re-platform penetration test remediation for Government public registry service,"This task delivers penetration test remediation against the existing public registry service. Failure would create rework for downstream teams but not customer outage. Core competencies required are internet governance and maintain ICT identity management. Planned at roughly 147 hours of individual effort, due in 35 days.",Advanced,Medium,Security Analyst,5,4,147.1,35,High,5.23,5063a99f-975b-4a7c-85e3-69ecb375b4d3|ab49f767-296b-47d5-af56-0b4a69515b03,4|2,5063a99f-975b-4a7c-85e3-69ecb375b4d3,2,1,2023-07-15,2023-08-19
TSK000026,PRJ00010,Government,Cybersecurity,Integrate encryption key rotation for Government citizen services portal,"Delivery of encryption key rotation for the citizen services portal sits with this task. Failure would create rework for downstream teams but not customer outage. Required capability includes quality assurance methodologies, attend to ICT systems quality and manage ICT data architecture. Planned at roughly 449 hours of individual effort, due in 140 days.",Advanced,Medium,Systems Administrator,6,5,448.5,140,Medium,5.78,c7cc6dc5-d56b-4323-8e5c-47c4022f615f|7f0b1a66-ebaf-4c8a-b606-4c1844eb692e|4d85b881-e490-4b4c-897a-2faa4ef53956|cf532795-a1fd-43bd-8407-6e43f877e6e3|f049d050-12da-4e40-813a-2b5eb6df6b51|dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1|8088750d-8388-4170-a76f-48354c469c44|d32db06e-bd06-4415-a7ab-1b0ee68caa9a,3|1|3|2|2|4|4|3,c7cc6dc5-d56b-4323-8e5c-47c4022f615f|dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1|8088750d-8388-4170-a76f-48354c469c44,8,3,2023-06-13,2023-10-31
TSK000027,PRJ00011,Energy,API Development,Optimise webhook delivery service for Energy grid operations system,"This workstream covers webhook delivery service within the grid operations system. The change is low blast-radius and can be scheduled flexibly. Core competencies required are perform scientific research, ICT debugging tools and use software libraries. The window is 25 days, with about 149 hours of effort expected from each assignee.",Moderate,Low,Technical Lead,5,5,148.8,25,Low,2.99,4fabca9a-7435-4f33-b1da-3cdb00340fdc|6014921e-1d25-4039-adc2-04852d61880e|8b94aa1e-89c9-459d-b3b4-1dfab8dec2df|d9e5349e-8791-49c2-8ba4-839fdd1606c2,2|3|3|3,6014921e-1d25-4039-adc2-04852d61880e,4,1,2023-03-31,2023-04-25
TSK000028,PRJ00011,Energy,API Development,Rebuild internal service contracts for Energy asset performance platform,"This task delivers internal service contracts against the existing asset performance platform. Business impact is limited, so a standard change window applies. The assignee is expected to demonstrate identify customer requirements, engineering principles and develop software prototype. Effort is budgeted at 154 hours per person with a 44-day deadline.",Moderate,Low,Backend Developer,9,10,154.3,44,Low,3.75,0e0c9c11-b39e-43cf-ba95-2fe646f5de64|209a5498-3449-4689-8ed9-bd08cab4fd78|797a4416-0b8d-44f3-8fcd-eb10bd0be6b4|0b0335f3-0aa1-491e-895e-81fc8774a300|72a74f69-5cf1-43c5-99b9-62a444578919|2b7a79e5-84d8-4880-be66-3d9bb05bea17|be48353d-25c7-4f86-bea9-7b9e248fbc6e|59ea80e1-463a-4dba-82c6-d0b6d577d532|6542601c-92ee-4a03-abd9-fde0635727a2|7aa52bdc-9c56-4341-be65-e8e30f64403f,2|3|2|2|2|2|4|3|3|2,209a5498-3449-4689-8ed9-bd08cab4fd78|be48353d-25c7-4f86-bea9-7b9e248fbc6e,10,2,2023-03-23,2023-05-06
TSK000029,PRJ00011,Energy,API Development,Refactor GraphQL service for Energy grid operations system,"Delivery of GraphQL service for the grid operations system sits with this task. Impact is contained and the change can be reversed without customer disruption. The assignee is expected to demonstrate debug software, utilise computer-aided software engineering tools and propose ICT solutions to business problems. Estimated effort is 174 hours per assignee against a 33-day delivery window.",Moderate,Low,Integration Engineer,8,8,174.5,33,Medium,1.83,2522a6ce-3202-4ac8-9f5b-b9cb5a3a83a1|172020d1-e151-445b-8173-e2a5fb16fe51|07e51c60-763a-4335-b4ec-70a15f66d328,1|2|2,172020d1-e151-445b-8173-e2a5fb16fe51,3,1,2023-04-27,2023-05-30
TSK000030,PRJ00011,Energy,API Development,Re-platform internal service contracts for Energy asset performance platform,"Scope of this task is internal service contracts on the asset performance platform. Business impact is limited, so a standard change window applies. Required capability includes perform scientific research, use an application-specific interface and integrated development environment software. Estimated effort is 79 hours per assignee against a 22-day delivery window.",Moderate,Low,Solution Architect,6,5,78.8,22,Medium,3.62,4fabca9a-7435-4f33-b1da-3cdb00340fdc|04fe962b-4017-4eb7-9139-7d69b6922bc9|925463a7-d51f-4d5b-9f79-4d28cf30acde|59ea80e1-463a-4dba-82c6-d0b6d577d532|0ccdfe98-f845-4598-84a1-3dca66e9d9a3|8369c2d6-c100-4cf6-bd83-9668d8678433|6b3afb82-c4ea-4f14-be54-a757fb762663|e5b5053e-0ef6-4c4e-a3f2-42f955f4322c|e7b05688-c191-4c34-b8ba-9cdcb8d805ad,2|2|2|3|2|3|2|2|3,59ea80e1-463a-4dba-82c6-d0b6d577d532|8369c2d6-c100-4cf6-bd83-9668d8678433|e7b05688-c191-4c34-b8ba-9cdcb8d805ad,9,3,2023-03-14,2023-04-05
TSK000031,PRJ00012,Retail,Data Analytics,Harden funnel analytics model for Retail loyalty platform,"This task delivers funnel analytics model against the existing loyalty platform. An outage here stops transaction processing, so rollback readiness is a gating condition. Required capability includes perform scientific research, report analysis results and manage open publications. Estimated effort is 165 hours per assignee against a 48-day delivery window.",Advanced,Critical,Data Scientist,10,9,165.1,48,High,9.03,4fabca9a-7435-4f33-b1da-3cdb00340fdc|c544a9f3-5945-4b54-afed-de0697852817|da930e2f-6047-4616-a598-bba8ecef3039|2daec0e6-f0c1-43e8-8178-aedba99130ec|c3e36d05-8ae8-447f-bb2b-6f9409f85389|3f4dab51-572b-4e2c-85ef-3b4c3f7094e1|9e84a506-df06-4be3-874a-fa01293e3dd5|b9f16465-56a9-426b-a047-0f9f1f95ec92|9cf681c7-89ec-470c-b651-7fe03786f586|8770350e-746f-4adb-9556-18ca68104be6,5|3|4|5|5|2|5|5|5|5,4fabca9a-7435-4f33-b1da-3cdb00340fdc|2daec0e6-f0c1-43e8-8178-aedba99130ec|c3e36d05-8ae8-447f-bb2b-6f9409f85389|9e84a506-df06-4be3-874a-fa01293e3dd5|b9f16465-56a9-426b-a047-0f9f1f95ec92|9cf681c7-89ec-470c-b651-7fe03786f586|8770350e-746f-4adb-9556-18ca68104be6,10,7,2024-01-12,2024-02-29
